s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,JACKSONVILLE,JACKSONVILLE,30.331474176,-81.65621571,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,70730.91,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,70730.91
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,BOSTON,BOSTON,42.358662362,-71.056738358,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,1893.71,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,1893.71
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,2823.63,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,2823.63
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,14035.28,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,14035.28
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,38988.26,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,38988.26
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,TACOMA,TACOMA,47.255129776,-122.441635799,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,694.38,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,694.38
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,6026.11,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,6026.11
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,1645.57,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,1645.57
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,3530.58,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,3530.58
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,1618.05,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,1618.05
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,32302.48,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,32302.48
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,1206.48,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,1206.48
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,2090.63,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,2090.63
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,4087.87,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,4087.87
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,JACKSONVILLE,JACKSONVILLE,30.331474176,-81.65621571,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,132933.3,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,132933.3
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,202.32,TACOMA,TACOMA,47.255129776,-122.441635799,318900000,UNITED STATES,202.32
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,1896.75,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,1896.75
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,15210.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,15210.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,517.06,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,517.06
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,19297.68,MIAMI,MIAMI,25.774812796,-80.197726986,318900000,UNITED STATES,19297.68
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,11024.4,OAKLAND,OAKLAND,37.805081883,-122.273066505,318900000,UNITED STATES,11024.4
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,4926.44,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,4926.44
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,VANCOUVER,VANCOUVER,45.632206301,-122.671556368,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,14526.56,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,14526.56
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,14526.56,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,14526.56
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,14526.56,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,14526.56
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,195523.17,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,195523.17
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,1951.8,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,1951.8
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,TACOMA,TACOMA,47.255129776,-122.441635799,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,TACOMA,TACOMA,47.255129776,-122.441635799,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,0.0
