s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,1.0,"SAVANNAH,GA","SAVANNAH,GA",32.080910203,-81.091188258,318900000,UNITED STATES,1.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,2.0,"LONG BEACH,CA","LONG BEACH,CA",33.76672318,-118.192397651,318900000,UNITED STATES,2.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,6.0,"OAKLAND,CA","OAKLAND,CA",37.805081883,-122.273066505,318900000,UNITED STATES,6.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,6.0,"OAKLAND,CA","OAKLAND,CA",37.805081883,-122.273066505,318900000,UNITED STATES,6.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,2.0,"BOSTON,MA","BOSTON,MA",42.358662362,-71.056738358,318900000,UNITED STATES,2.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,0.15,"TACOMA,WA","TACOMA,WA",47.255129776,-122.441635799,318900000,UNITED STATES,0.15
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,4.0,"NORFOLK,VA","NORFOLK,VA",36.846823884,-76.285058372,318900000,UNITED STATES,4.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,0.33,"LONG BEACH,CA","LONG BEACH,CA",33.76672318,-118.192397651,318900000,UNITED STATES,0.33
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,1.0,"LOS ANGELES,CA","LOS ANGELES,CA",34.053491483,-118.245319794,318900000,UNITED STATES,1.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,1.0,"OAKLAND,CA","OAKLAND,CA",37.805081883,-122.273066505,318900000,UNITED STATES,1.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,2.0,"LOS ANGELES,CA","LOS ANGELES,CA",34.053491483,-118.245319794,318900000,UNITED STATES,2.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,0.1,"SEATTLE,WA","SEATTLE,WA",47.603569446,-122.329447436,318900000,UNITED STATES,0.1
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,1.0,"OAKLAND,CA","OAKLAND,CA",37.805081883,-122.273066505,318900000,UNITED STATES,1.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,14.0,"TACOMA,WA","TACOMA,WA",47.255129776,-122.441635799,318900000,UNITED STATES,14.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,2.0,"SEATTLE,WA","SEATTLE,WA",47.603569446,-122.329447436,318900000,UNITED STATES,2.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,2.0,"SAVANNAH,GA","SAVANNAH,GA",32.080910203,-81.091188258,318900000,UNITED STATES,2.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,2.0,"SAVANNAH,GA","SAVANNAH,GA",32.080910203,-81.091188258,318900000,UNITED STATES,2.0
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,1.13,"LOS ANGELES,CA","LOS ANGELES,CA",34.053491483,-118.245319794,318900000,UNITED STATES,1.13
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,0.17,"SEATTLE,WA","SEATTLE,WA",47.603569446,-122.329447436,318900000,UNITED STATES,0.17
HONG KONG,HONG KONG,22.359828611,114.123914396,999,HONG KONG,0.33,"LONG BEACH,CA","LONG BEACH,CA",33.76672318,-118.192397651,318900000,UNITED STATES,0.33
